Series Description,"CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ","JAPAN -- SPOT EXCHANGE RATE, YEN/US$ ","SINGAPORE -- SPOT EXCHANGE RATE, SINGAPORE $/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ "
Unit:,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD,Currency:_Per_USD
Multiplier:,1,1,1,1
Currency:,CAD,JPY,SGD,CHF
Unique Identifier: ,H10/H10/RXI_N.B.CA,H10/H10/RXI_N.B.JA,H10/H10/RXI_N.B.SI,H10/H10/RXI_N.B.SZ
Time Period,RXI_N.B.CA,RXI_N.B.JA,RXI_N.B.SI,RXI_N.B.SZ
1/01/2018,1.2507,112.18,1.3291,0.9718
2/01/2018,1.2507,112.18,1.3291,0.9718
3/01/2018,1.2534,112.28,1.3283,0.9762
4/01/2018,1.2522,112.78,1.3281,0.9753
5/01/2018,1.2396,113.18,1.3268,0.9752
8/01/2018,1.2424,113.08,1.3323,0.9762
9/01/2018,1.2457,112.57,1.3355,0.9832
10/01/2018,1.2485,111.48,1.3341,0.978
11/01/2018,1.2526,111.35,1.3295,0.9748
12/01/2018,1.2517,111.23,1.3275,0.9713
15/01/2018,1.2517,111.23,1.3275,0.9713
16/01/2018,1.2422,110.74,1.3227,0.9618
17/01/2018,1.2443,110.81,1.3226,0.9616
18/01/2018,1.2442,110.88,1.3213,0.9586
19/01/2018,1.2456,110.56,1.3204,0.9612
22/01/2018,1.246,111.15,1.3203,0.9636
23/01/2018,1.2455,110.46,1.3181,0.9598
24/01/2018,1.2357,109.15,1.3083,0.9452
25/01/2018,1.2315,108.7,1.3037,0.9357
26/01/2018,1.232,108.38,1.307,0.9342
29/01/2018,1.2339,109.12,1.312,0.938
30/01/2018,1.234,108.9,1.3117,0.9355
31/01/2018,1.2293,109.31,1.3103,0.9321
1/02/2018,1.228,109.5,1.3097,0.9288
2/02/2018,1.2393,110.4,1.3192,0.932
5/02/2018,1.2483,110.09,1.3188,0.9366
6/02/2018,1.2537,109.18,1.3207,0.9368
7/02/2018,1.2545,109.53,1.3234,0.9438
8/02/2018,1.2603,109,1.331,0.9386
9/02/2018,1.2599,108.44,1.3302,0.9393
12/02/2018,1.2612,108.72,1.3246,0.9392
13/02/2018,1.26,107.59,1.3222,0.9335
14/02/2018,1.2564,107,1.3177,0.9319
15/02/2018,1.2517,106.36,1.3112,0.9232
16/02/2018,1.2532,106.1,1.3105,0.9258
19/02/2018,1.2532,106.1,1.3105,0.9258
20/02/2018,1.2624,107.23,1.3183,0.9354
21/02/2018,1.2678,107.64,1.3206,0.9375
22/02/2018,1.2705,106.96,1.3189,0.9345
23/02/2018,1.2659,106.64,1.3207,0.9356
26/02/2018,1.2691,106.96,1.3173,0.9388
27/02/2018,1.2748,107.47,1.3222,0.9398
28/02/2018,1.2806,106.62,1.3231,0.943
1/03/2018,1.284,106.91,1.3245,0.9461
2/03/2018,1.2882,105.65,1.3203,0.9378
5/03/2018,1.2982,105.97,1.3186,0.9397
6/03/2018,1.2892,106.03,1.3156,0.9385
7/03/2018,1.2993,105.94,1.3161,0.9426
8/03/2018,1.2936,106.08,1.3174,0.9499
9/03/2018,1.2822,106.74,1.315,0.9493
12/03/2018,1.2835,106.52,1.3133,0.9489
13/03/2018,1.2925,106.64,1.3105,0.9437
14/03/2018,1.2946,106.17,1.3088,0.9461
15/03/2018,1.3053,106.07,1.3118,0.9502
16/03/2018,1.3096,106.1,1.3173,0.9532
19/03/2018,1.3089,105.83,1.3173,0.9509
20/03/2018,1.3083,106.42,1.3181,0.9549
21/03/2018,1.2957,106.3,1.3172,0.954
22/03/2018,1.293,105.34,1.3165,0.9491
23/03/2018,1.287,104.83,1.3135,0.9465
26/03/2018,1.2866,105,1.3101,0.9442
27/03/2018,1.2841,105.72,1.308,0.9474
28/03/2018,1.2886,106.3,1.3094,0.9538
29/03/2018,1.2901,106.27,1.3109,0.956
30/03/2018,1.2891,106.2,1.3105,0.9532
2/04/2018,1.2918,105.99,1.3124,0.9558
3/04/2018,1.28,106.45,1.3115,0.959
4/04/2018,1.2801,106.56,1.3126,0.9595
5/04/2018,1.2777,107.48,1.3168,0.9633
