Date,USD,JPY,GBP,CHF,AUD,CAD,CNY,HKD,KRW,MYR,NZD,PHP,SGD,THB,ZAR
3/07/2020,1.1224,120.68,0.9012,1.0623,1.6175,1.5233,7.931,8.6987,1346.54,4.8123,1.7204,55.536,1.5654,34.918,19.1761
2/07/2020,1.1286,121.24,0.90225,1.0648,1.6296,1.5343,7.9759,8.7469,1353.9,4.8366,1.7297,56.078,1.5726,35.054,19.0952
1/07/2020,1.12,120.31,0.9043,1.062,1.6268,1.5217,7.9151,8.6808,1347.84,4.8009,1.7362,55.791,1.563,34.709,19.2935
30/06/2020,1.1198,120.66,0.91243,1.0651,1.6344,1.5324,7.9219,8.6788,1345.83,4.7989,1.748,55.834,1.5648,34.624,19.4425
29/06/2020,1.1284,121.07,0.9154,1.0669,1.6406,1.5409,7.9841,8.7456,1352.81,4.8352,1.7533,56.258,1.5708,34.845,19.4262
26/06/2020,1.1213,119.93,0.90575,1.0631,1.6313,1.5318,7.9298,8.6904,1346.19,4.8115,1.7428,56.053,1.5608,34.674,19.3799
25/06/2020,1.12,120.25,0.90133,1.0637,1.6321,1.5282,7.9206,8.6805,1347.73,4.7914,1.7465,56.075,1.56,34.647,19.4883
24/06/2020,1.128,120.3,0.90343,1.0679,1.6342,1.5331,7.9772,8.7421,1356.39,4.8194,1.7552,56.453,1.5668,34.788,19.5264
23/06/2020,1.1318,121.05,0.9063,1.0705,1.6272,1.5269,7.9944,8.7716,1366.51,4.839,1.7391,56.685,1.5743,34.995,19.4719
22/06/2020,1.1213,119.89,0.90328,1.0654,1.6292,1.521,7.9348,8.6902,1361.3,4.7997,1.735,56.2,1.5639,34.76,19.5077
19/06/2020,1.121,119.77,0.90505,1.0656,1.6261,1.5209,7.9332,8.6889,1353.53,4.7854,1.7403,56.133,1.5623,34.765,19.444
18/06/2020,1.1222,120,0.90028,1.0667,1.6356,1.5218,7.9545,8.6972,1359.26,4.8008,1.742,56.302,1.5642,34.928,19.5334
17/06/2020,1.1232,120.65,0.89448,1.0669,1.6292,1.5204,7.9602,8.7049,1362.21,4.8095,1.7395,56.273,1.565,35.055,19.2289
16/06/2020,1.1308,121.39,0.8937,1.0717,1.6324,1.532,8.0041,8.7634,1369.11,4.8342,1.7474,56.664,1.5713,35.18,19.2518
15/06/2020,1.1253,120.83,0.89648,1.0679,1.6476,1.5342,7.984,8.7211,1366.08,4.814,1.7471,56.653,1.5692,35.008,19.322
12/06/2020,1.1304,121.26,0.89653,1.0697,1.6447,1.5347,7.999,8.7607,1360.45,4.824,1.7553,56.763,1.5718,34.986,19.2794
11/06/2020,1.1348,121.52,0.89665,1.0697,1.6421,1.5321,8.025,8.795,1359.18,4.8223,1.753,56.889,1.5758,35.122,19.1372
10/06/2020,1.1375,122.16,0.88963,1.0762,1.622,1.5228,8.0305,8.8157,1352.17,4.8361,1.7357,56.767,1.5746,35.422,18.8376
9/06/2020,1.1294,122.14,0.8912,1.077,1.6267,1.5187,8.0025,8.753,1353.3,4.8287,1.7375,56.521,1.5708,35.418,18.8935
8/06/2020,1.1285,123.41,0.89173,1.0861,1.6156,1.5126,7.9836,8.746,1353.2,4.8159,1.7291,56.301,1.57,35.474,18.9799
5/06/2020,1.133,123.77,0.89448,1.0866,1.6227,1.5237,8.0349,8.7809,1365.57,4.8345,1.7392,56.457,1.5775,35.65,19.0823
4/06/2020,1.125,122.48,0.89685,1.0786,1.6276,1.5203,8.0066,8.7189,1368.73,4.8077,1.751,56.109,1.5758,35.539,19.0059
3/06/2020,1.1194,121.54,0.89065,1.0793,1.628,1.5173,7.9599,8.6757,1364.09,4.7703,1.7532,55.923,1.5656,35.339,19.0844
2/06/2020,1.1174,120.83,0.89083,1.0741,1.631,1.5106,7.9413,8.6609,1364.42,4.7797,1.768,56.071,1.5668,35.271,19.2755
1/06/2020,1.1116,119.75,0.89673,1.0686,1.6488,1.5228,7.9327,8.6165,1364.44,4.8004,1.7824,55.947,1.5669,35.204,19.3993
29/05/2020,1.1136,119.29,0.90088,1.072,1.6681,1.528,7.9456,8.6347,1376.21,4.8414,1.7863,56.231,1.5712,35.424,19.4239
28/05/2020,1.1016,118.68,0.89728,1.0683,1.6624,1.5155,7.8804,8.5407,1363.76,4.798,1.7776,55.792,1.5621,35.108,19.1981
27/05/2020,1.0991,118.58,0.89595,1.0675,1.6565,1.5126,7.8682,8.5204,1359.04,4.7783,1.7719,55.668,1.5588,35.056,19.1477
26/05/2020,1.0975,117.92,0.88878,1.06,1.6539,1.5184,7.8269,8.5078,1352.23,4.7889,1.7717,55.358,1.556,34.988,19.065
25/05/2020,1.091,117.47,0.89515,1.0597,1.6678,1.5261,7.7856,8.4599,1354.63,4.7606,1.789,55.382,1.5545,34.89,19.2807
22/05/2020,1.0904,117.26,0.89563,1.0591,1.6694,1.5273,7.7797,8.4571,1353.51,4.7569,1.787,55.349,1.5521,34.778,19.2476
21/05/2020,1.1,118.42,0.89943,1.0628,1.671,1.531,7.8153,8.5298,1354.6,4.7801,1.7949,55.649,1.5561,34.991,19.6577
20/05/2020,1.0958,117.95,0.89358,1.0584,1.6653,1.5211,7.7806,8.4926,1345.71,4.7684,1.7859,55.447,1.5503,34.868,19.7503
19/05/2020,1.095,118,0.89535,1.0633,1.6751,1.5251,7.7816,8.487,1341.19,4.7583,1.8004,55.567,1.5513,34.947,19.9649
18/05/2020,1.0832,116.31,0.89153,1.0521,1.6736,1.5202,7.7068,8.3964,1332.42,4.732,1.8096,55.102,1.5426,34.684,19.8913
15/05/2020,1.0798,115.53,0.88738,1.0513,1.6805,1.5231,7.6759,8.3693,1332.6,4.6982,1.8145,54.778,1.5397,34.656,20.0761
14/05/2020,1.0792,115.48,0.88495,1.0512,1.6805,1.5224,7.6655,8.3647,1329.17,4.6843,1.8068,54.591,1.5374,34.675,20.1637
13/05/2020,1.0875,116.28,0.88245,1.0528,1.6687,1.5243,7.7102,8.4286,1331.08,4.704,1.7983,54.545,1.538,34.844,19.919
12/05/2020,1.0858,116.56,0.87773,1.052,1.6625,1.5178,7.6933,8.4154,1326.17,4.6977,1.7742,54.388,1.5357,34.854,19.7382
11/05/2020,1.0824,116.16,0.87875,1.0519,1.6709,1.5136,7.6783,8.3893,1325.57,4.6911,1.7808,54.527,1.5335,34.837,19.96
8/05/2020,1.0843,115.34,0.87535,1.0529,1.6613,1.5118,7.6719,8.4052,1322.41,4.6994,1.7668,54.681,1.5326,34.958,19.997
7/05/2020,1.0783,114.91,0.87478,1.053,1.6704,1.5177,7.6427,8.358,1320.18,4.6631,1.782,54.497,1.5303,34.969,20.0698
6/05/2020,1.0807,114.65,0.87253,1.053,1.7046,1.5225,7.6707,8.3763,1323.48,4.6713,1.7839,54.62,1.5335,35.004,20.0603
5/05/2020,1.0843,115.71,0.8706,1.0525,1.6825,1.5201,7.6575,8.4057,1324.81,4.6674,1.791,54.863,1.5359,35.126,19.9018
4/05/2020,1.0942,116.84,0.87898,1.0548,1.7022,1.539,7.7275,8.4838,1340,4.7226,1.8083,55.379,1.5495,35.397,20.3924
30/04/2020,1.0876,115.87,0.86905,1.0558,1.6598,1.5077,7.6665,8.43,1313.09,4.6767,1.7705,54.772,1.5324,35.216,19.6572
29/04/2020,1.0842,115.52,0.87378,1.0571,1.6655,1.5129,7.6723,8.4029,1321.59,4.7136,1.7831,54.763,1.5344,35.15,19.9836
28/04/2020,1.0877,116.06,0.87078,1.0586,1.6734,1.5179,7.6977,8.4301,1325.8,4.7451,1.7956,55.032,1.5407,35.28,20.2913
27/04/2020,1.0852,116.22,0.87263,1.0557,1.6795,1.5255,7.686,8.4104,1328.82,4.725,1.7893,54.987,1.5391,35.236,20.4109
24/04/2020,1.08,116.22,0.87498,1.0525,1.6943,1.5173,7.6455,8.3706,1332.59,4.7093,1.7991,54.891,1.5396,35.03,20.5019
23/04/2020,1.0772,115.75,0.872,1.0511,1.6918,1.5226,7.6259,8.3489,1326.8,4.6966,1.7947,54.571,1.5331,34.815,20.5432
22/04/2020,1.0867,117.01,0.8792,1.0523,1.7199,1.5375,7.6964,8.422,1339.66,4.7437,1.82,55.096,1.5508,35.176,20.4413
